"Branch_ID","Branch_address","Branch_province","Branch_region","Branch_phone"
"1","36 West Fabien St.","Lincoln","Kentucky","598547-1751"
"2","935 Nobel Way","Arlington","Iowa","378301-0429"
"3","91 Hague Parkway","Newark","Indiana","071043-3590"
"4","50 Cowley Avenue","Sacramento","New York","357-497-5855"
"5","525 North Old Parkway","Los Angeles","Mississippi","128-468-9345"
"6","48 Old Freeway","San Diego","Washington","700-5610971"
"7","545 New Way","Anchorage","Delaware","198178-7652"
"8","80 White New St.","Honolulu","West Virginia","051-5735001"
"9","16 Nobel St.","Fresno","New Jersey","4869580165"
"10","361 Milton Way","Raleigh","Colorado","809585-3534"
"11","76 Cowley Way","New Orleans","Wisconsin","0778085650"
"12","11 White Second Road","Louisville","Maine","317-413-6227"
"13","39 White New Blvd.","Albuquerque","Arkansas","413-248-8234"
"14","19 White Fabien Drive","Colorado","Arkansas","825280-9356"
"15","220 East Second Street","Jackson","Missouri","580-333-9239"
"16","936 North Cowley Boulevard","Santa Ana","Delaware","179375-6112"
"17","28 Rocky Oak Road","Colorado","Wisconsin","9829195842"
"18","641 New Avenue","Fresno","California","041136-7294"
"19","448 Clarendon Street","Jackson","South Dakota","211005-0839"
"20","790 Cowley Drive","Montgomery","Illinois","533-105-5176"
"21","458 Rocky Hague Avenue","Charlotte","Missouri","724-3640891"
"22","87 Cowley Boulevard","Grand Rapids","Arkansas","3074942671"
"23","41 White Cowley Boulevard","Rochester","Tennessee","829-848-8878"
"24","727 East Hague Avenue","Tulsa","Rhode Island","3044498784"
"25","21 Nobel Parkway","San Antonio","Georgia","693888-8144"
"26","96 West Green Nobel Way","San Antonio","Pennsylvania","6252214396"
"27","901 East Old Road","Virginia Beach","Idaho","063950-4117"
"28","735 Second Blvd.","Milwaukee","South Carolina","295-6294870"
"29","434 Clarendon Avenue","Corpus Christi","Washington","491-2860148"
"30","88 White Old Way","Portland","Colorado","0134777655"
"31","67 Rocky Second Blvd.","Rochester","Alaska","0895074273"
"32","85 Rocky Cowley Avenue","Buffalo","Rhode Island","5713477140"
"33","32 Cowley Boulevard","Garland","Kansas","621217-0356"
"34","855 Oak St.","Phoenix","Colorado","294047-6019"
"35","858 New Street","Houston","Maryland","4572023071"
"36","50 Cowley Blvd.","Spokane","Wisconsin","081-765-2487"
"37","909 Hague Boulevard","St. Louis","Florida","1084691792"
"38","527 West White Old Blvd.","San Jose","South Carolina","066-780-7046"
"39","46 First Parkway","Chicago","Georgia","724-2123925"
"40","291 East Rocky Fabien Street","Cleveland","South Carolina","9725862055"
"41","42 Oak Way","St. Paul","Louisiana","4128258473"
"42","77 First St.","Grand Rapids","Colorado","8640778559"
"43","75 White Hague Drive","Pittsburgh","Wisconsin","267-2676135"
"44","98 Milton Way","Baton Rouge","Tennessee","103656-7466"
"45","134 Green Clarendon Parkway","Los Angeles","Nevada","275272-1972"
"46","666 New St.","Long Beach","Georgia","831-829-6020"
"47","380 West Hague Avenue","Anchorage","Alaska","8909563813"
"48","294 Nobel Way","Wichita","Nebraska","6833210712"
"49","40 Rocky Hague St.","Mesa","New York","142199-3765"
"50","549 South Rocky First Boulevard","Raleigh","Vermont","906863-6716"
"51","91 Second Boulevard","Lubbock","Wyoming","133-966-7834"
"52","817 Rocky Clarendon St.","Santa Ana","Wisconsin","656912-4174"
"53","19 White Oak St.","Santa Ana","Illinois","3739333456"
"54","486 Milton Blvd.","Portland","Montana","938-0169197"
"55","90 East Oak Drive","Arlington","Georgia","881-956-3281"
"56","15 White First St.","Fort Wayne","Indiana","455-1351184"
"57","59 White Fabien Way","Long Beach","Minnesota","7364324768"
"58","695 New Parkway","San Francisco","Missouri","834357-5225"
"59","988 West White New Freeway","Long Beach","Michigan","8610521380"
"60","31 Fabien Drive","Glendale","Oregon","4678612554"
"61","80 North Rocky Hague Drive","Jersey","Ohio","107758-2094"
"62","82 Rocky Nobel Road","Mesa","Maine","0778532568"
"63","580 New Street","Des Moines","Alaska","408-0699848"
"64","337 Cowley St.","Milwaukee","Missouri","8664856709"
"65","71 South First Boulevard","Phoenix","California","199224-4795"
"66","842 North Green Nobel St.","Baton Rouge","Hawaii","005588-6492"
"67","877 Oak Avenue","Riverside","Arkansas","259085-5230"
"68","50 Rocky Old Parkway","Oklahoma","West Virginia","680-5102090"
"69","909 East Old Drive","Wichita","Ohio","721984-2535"
"70","90 Hague Avenue","Yonkers","Montana","257748-0419"
"71","700 Green Nobel Boulevard","Washington","Wyoming","984-3148483"
"72","378 White New Freeway","Tulsa","Florida","085-7333300"
"73","59 White Old Street","Honolulu","Vermont","464-3001001"
"74","95 White Clarendon Avenue","Tampa","Alabama","355-2986550"
"75","972 First Avenue","Oklahoma","Virginia","904-1069861"
"76","65 South Hague Freeway","Santa Ana","Maine","622788-5888"
"77","98 West Rocky First Freeway","Minneapolis","California","859056-3895"
"78","888 Rocky First Avenue","Tacoma","Wyoming","327-329-1232"
"79","189 Clarendon Drive","Sacramento","Idaho","318-4810505"
"80","911 Rocky Cowley Blvd.","Shreveport","Wyoming","982-214-5589"
"81","186 West Rocky Fabien Avenue","Pittsburgh","Oklahoma","7241055082"
"82","82 Green Second Drive","Hialeah","Ohio","7242001765"
"83","384 North Green Old Road","Norfolk","Delaware","8017138358"
"84","926 White Oak Avenue","Garland","Arizona","231302-7285"
"85","528 East Green Old St.","Minneapolis","Colorado","439-5905871"
"86","77 West New St.","San Francisco","Arkansas","841-7517789"
"87","759 Green Old Parkway","Fort Wayne","Montana","428-440-3236"
"88","913 Green New Street","Birmingham","South Dakota","4312158244"
"89","24 Green Old Parkway","San Antonio","Virginia","701-396-3487"
"90","62 North Oak Street","San Diego","Connecticut","4144623721"
"91","799 Green First St.","Arlington","Nebraska","205211-4702"
"92","12 Rocky Clarendon Drive","Seattle","Ohio","8376740719"
"93","749 Clarendon Parkway","Mobile","Louisiana","5743923028"
"94","31 Clarendon Avenue","Baltimore","Mississippi","760-9924652"
"95","107 Rocky Fabien Avenue","Colorado","Colorado","492-720-8195"
"96","66 Clarendon Boulevard","Philadelphia","Wyoming","656468-5464"
"97","45 First Boulevard","Chicago","California","639-480-4690"
"98","870 Old Freeway","New Orleans","Missouri","8078057080"
"99","27 White First Road","Las Vegas","Pennsylvania","355-5197547"
"100","525 East Hague Blvd.","Fort Worth","Kentucky","7785686736"
"101","71 Oak Way","Las Vegas","Connecticut","300-904-7001"
"102","91 South White First St.","Pittsburgh","California","3580206696"
"103","405 Milton Avenue","New York","Texas","7736537235"
"104","750 North Cowley Way","Riverside","Connecticut","567098-0926"
"105","42 Old Road","Newark","Virginia","208-9747293"
"106","510 Rocky Old Blvd.","Tulsa","South Dakota","784-094-7934"
"107","388 Rocky Cowley Freeway","Dallas","Arkansas","737649-7180"
"108","604 Green Clarendon St.","Fremont","Idaho","804-1493674"
"109","434 North New Parkway","Los Angeles","New Jersey","940442-3936"
"110","55 First Street","Fresno","South Dakota","803-751-2305"
"111","18 North Green New Boulevard","Newark","Florida","064-312-3700"
"112","36 New Avenue","Albuquerque","Minnesota","213-223-4285"
"113","404 North First Street","Aurora","Illinois","147658-7891"
"114","59 West Second Boulevard","Colorado","Minnesota","941-095-7305"
"115","61 West Second Freeway","Wichita","Alabama","0268937235"
"116","80 Fabien Road","Grand Rapids","Wyoming","3219161853"
"117","54 White Nobel Road","Garland","Hawaii","343420-0028"
"118","49 New Avenue","Dayton","Wisconsin","8695158685"
"119","74 North Second Street","Stockton","Maine","0403951106"
"120","75 New St.","Tacoma","Alaska","898587-1875"
"121","382 Milton Road","Raleigh","Ohio","835-5068127"
"122","123 White Hague Avenue","Phoenix","Indiana","3099811678"
"123","42 White Clarendon Freeway","Boston","Alaska","4297698399"
"124","50 Old Boulevard","Cincinnati","Nevada","360-091-0268"
"125","132 East Green Hague Parkway","Cleveland","Wisconsin","8375147122"
"126","302 First Street","Fremont","Iowa","682-463-4178"
"127","192 Oak Avenue","Corpus Christi","Tennessee","5905502242"
"128","169 East Second Way","Tucson","Massachusetts","9782042931"
"129","611 Green Nobel St.","New York","Virginia","446-7030869"
"130","28 Milton St.","New Orleans","Washington","210720-4426"
"131","99 Rocky Second Parkway","Toledo","Iowa","5288508417"
"132","43 Green First Drive","Washington","New Mexico","344-096-1315"
"133","34 White Cowley St.","Portland","Illinois","276-898-7137"
"134","539 White Fabien Parkway","Indianapolis","Vermont","313-0025566"
"135","881 Rocky Milton Street","San Francisco","Texas","445076-4520"
"136","20 North Old Street","Arlington","New York","969-908-2502"
"137","10 First Avenue","Yonkers","Texas","231267-5509"
"138","870 Old Parkway","Spokane","Alabama","572-9643555"
"139","419 White Cowley Blvd.","Tucson","Delaware","574-136-3881"
"140","142 Cowley Parkway","Fort Wayne","Kansas","4094366819"
"141","570 Rocky New St.","Detroit","Wyoming","7028051173"
"142","146 Rocky Nobel Avenue","New York","Indiana","172255-1056"
"143","35 New Avenue","Louisville","Hawaii","216-2533510"
"144","145 Hague Boulevard","Arlington","California","3638631525"
"145","21 Second Drive","Omaha","West Virginia","759-043-5456"
"146","612 Green Fabien Blvd.","Cleveland","California","7455756893"
"147","179 Nobel Street","Toledo","Minnesota","737-867-8232"
"148","162 New Boulevard","New Orleans","Virginia","4077959997"
"149","67 Nobel Drive","Birmingham","Mississippi","149161-1613"
"150","49 Fabien St.","Aurora","Colorado","343510-7886"
"151","92 New Parkway","San Francisco","Rhode Island","960-425-7969"
"152","63 West Clarendon Blvd.","San Francisco","Colorado","081-5610373"
"153","317 Clarendon Street","Toledo","Connecticut","385466-0909"
"154","430 Green Milton Avenue","Anchorage","Oregon","651-866-3549"
"155","957 White Second Street","Mesa","North Carolina","0418304297"
"156","899 Clarendon Parkway","Tampa","Utah","651-425-6146"
"157","488 Green Fabien Parkway","Boston","Arizona","816-671-2416"
"158","67 Green Milton Boulevard","Colorado","Iowa","678832-7914"
"159","56 North Milton Blvd.","Miami","Florida","794-259-8386"
"160","20 Oak Avenue","Louisville","New Mexico","018-926-5843"
"161","76 Clarendon Street","Mobile","Wyoming","666-3080740"
"162","91 First Street","Stockton","North Carolina","4566094314"
"163","93 Hague Drive","Bakersfield","Kentucky","3062749295"
"164","45 East Second Freeway","Shreveport","North Dakota","1859286604"
"165","10 West Hague Blvd.","Fort Wayne","Nebraska","0830157184"
"166","29 Rocky Clarendon Freeway","Albuquerque","New Hampshire","314572-1199"
"167","501 Hague Drive","Dallas","Hawaii","569-091-9366"
"168","991 Rocky Fabien St.","Louisville","Louisiana","8345213635"
"169","524 Green Oak Freeway","Pittsburgh","New Jersey","825-014-4901"
"170","628 Clarendon Freeway","Wichita","Maryland","206-879-3446"
"171","50 Rocky Milton Way","Fort Wayne","Delaware","456-7716813"
"172","641 White Cowley Freeway","Bakersfield","Georgia","510299-0225"
"173","60 Nobel St.","Tampa","Tennessee","578-837-4977"
"174","74 Hague Parkway","Raleigh","Arkansas","965-147-5541"
"175","43 South Rocky Clarendon Parkway","Lubbock","Alaska","556906-1486"
"176","46 White Cowley Blvd.","Stockton","Massachusetts","222-461-1088"
"177","68 Green Clarendon Freeway","Toledo","Arkansas","285-9319927"
"178","86 Oak Avenue","Louisville","West Virginia","751231-8353"
"179","56 Fabien Street","Fremont","New Mexico","928385-9155"
"180","927 Green Hague Avenue","New York","Vermont","4336899758"
"181","98 White Hague Parkway","Omaha","Texas","5877158906"
"182","905 New Avenue","Pittsburgh","Virginia","1754960224"
"183","581 Milton Way","Baton Rouge","West Virginia","536-1372869"
"184","34 First Drive","Oklahoma","South Dakota","673-2176185"
"185","154 Milton Street","San Jose","Delaware","4805388092"
"186","11 Nobel Avenue","Charlotte","Georgia","526-291-4689"
"187","359 Clarendon Boulevard","Riverside","Missouri","9513803939"
"188","33 Milton Road","Anaheim","Montana","114-3445767"
"189","69 Rocky Milton Road","Anaheim","Illinois","848382-7293"
"190","20 Oak Way","Louisville","Wyoming","251-217-5021"
"191","120 White Oak Road","Mobile","New Hampshire","6128053926"
"192","66 Fabien Way","Oklahoma","Nevada","040064-7661"
"193","701 Milton St.","Fresno","Texas","261691-1032"
"194","568 Green Second St.","Raleigh","Nebraska","380-0959722"
"195","23 Green Milton Drive","Boston","Kansas","143-6860392"
"196","681 First Blvd.","Long Beach","Kentucky","021953-2132"
"197","333 White Cowley Freeway","Philadelphia","West Virginia","8797634219"
"198","505 Oak Boulevard","Lincoln","Nebraska","7037556083"
"199","326 North Old Way","Las Vegas","New Hampshire","543-341-3969"
"200","83 Second Freeway","San Jose","Maryland","6441783192"
"201","49 West Second Drive","Jacksonville","Utah","779-0802831"
"202","90 Rocky Hague Blvd.","Garland","California","896-250-7660"
"203","444 South Nobel Avenue","Yonkers","Kentucky","149-6958396"
"204","994 North Fabien Avenue","Phoenix","Arkansas","246457-1767"
"205","304 Cowley Road","Stockton","West Virginia","320-8988384"
"206","85 Nobel Avenue","Milwaukee","New Hampshire","8642085740"
"207","564 Old Avenue","St. Paul","Indiana","828-635-2502"
"208","65 East New Way","Stockton","Arizona","0625393326"
"209","41 White Clarendon St.","Madison","Ohio","058-556-5198"
"210","82 Clarendon Freeway","Mobile","Illinois","695-848-5310"
"211","37 Old Boulevard","San Diego","South Dakota","3186785022"
"212","916 First Boulevard","Arlington","Colorado","431378-5632"
"213","75 Fabien Road","St. Paul","Ohio","2364209185"
"214","68 White Old Drive","Cincinnati","Indiana","825-112-6271"
"215","712 Rocky Old Way","San Jose","Pennsylvania","935143-1317"
"216","32 West Rocky Nobel Parkway","Albuquerque","Arkansas","2833191111"
"217","18 First St.","Los Angeles","Oklahoma","158651-3828"
"218","10 Fabien Way","Rochester","Montana","894788-8379"
"219","98 North White Second Street","Rochester","Nebraska","021-5446720"
"220","421 Hague Parkway","Norfolk","Kentucky","480-1632759"
"221","75 Green Old Blvd.","Riverside","California","281072-3587"
"222","74 South Fabien Street","Fresno","Ohio","9670223943"
"223","307 White Oak Avenue","Arlington","Colorado","885-756-7666"
"224","21 Cowley Boulevard","Lincoln","New Mexico","5856989523"
"225","69 Oak St.","Aurora","South Dakota","128-5033963"
"226","842 North Green Fabien Street","Riverside","New Mexico","366-5379092"
"227","192 New St.","Toledo","Kentucky","2324734455"
"228","793 Old Freeway","Lincoln","Iowa","7253907508"
"229","33 Second Road","Colorado","Rhode Island","401-061-6281"
"230","683 Clarendon St.","Colorado","Oklahoma","171-651-3366"
"231","221 Rocky Oak Drive","Riverside","Minnesota","9653240045"
"232","88 East Green Hague Way","Jersey","Nebraska","008-936-9876"
"233","81 Cowley St.","Tacoma","Maine","705961-8342"
"234","31 Rocky First Boulevard","Montgomery","Hawaii","506-2425033"
"235","68 North Milton Street","Hialeah","Alabama","558-059-3845"
"236","443 Nobel Blvd.","Louisville","Pennsylvania","684924-3779"
